[02-Apr-2024 23:49:34 UTC] PHP Parse error:  syntax error, unexpected 'function' (T_FUNCTION) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 7
[02-Apr-2024 23:50:10 UTC] PHP Parse error:  syntax error, unexpected 'function' (T_FUNCTION) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 7
[02-Apr-2024 23:50:13 UTC] PHP Parse error:  syntax error, unexpected 'function' (T_FUNCTION) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 7
[02-Apr-2024 23:50:14 UTC] PHP Parse error:  syntax error, unexpected 'function' (T_FUNCTION) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 7
[02-Apr-2024 23:50:31 UTC] PHP Parse error:  syntax error, unexpected 'function' (T_FUNCTION) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 7
[02-Apr-2024 23:50:53 UTC] PHP Parse error:  syntax error, unexpected 'function' (T_FUNCTION) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 7
[02-Apr-2024 23:59:29 UTC] PHP Parse error:  syntax error, unexpected 'function' (T_FUNCTION) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 7
[02-Apr-2024 23:59:30 UTC] PHP Parse error:  syntax error, unexpected 'function' (T_FUNCTION) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 7
[02-Apr-2024 23:59:31 UTC] PHP Parse error:  syntax error, unexpected 'function' (T_FUNCTION) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 7
[02-Apr-2024 23:59:32 UTC] PHP Parse error:  syntax error, unexpected 'function' (T_FUNCTION) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 7
[03-Apr-2024 00:04:51 UTC] PHP Warning:  Use of undefined constant PHP - assumed 'PHP' (this will throw an Error in a future version of PHP) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 1
[03-Apr-2024 00:04:51 UTC] PHP Warning:  Use of undefined constant PHP - assumed 'PHP' (this will throw an Error in a future version of PHP) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 1
[03-Apr-2024 00:04:51 UTC] PHP Warning:  Use of undefined constant PHP - assumed 'PHP' (this will throw an Error in a future version of PHP) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 1
[03-Apr-2024 00:04:51 UTC] PHP Warning:  Use of undefined constant PHP - assumed 'PHP' (this will throw an Error in a future version of PHP) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 1
[03-Apr-2024 00:04:51 UTC] PHP Warning:  Use of undefined constant PHP - assumed 'PHP' (this will throw an Error in a future version of PHP) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 1
[03-Apr-2024 00:04:51 UTC] PHP Warning:  Use of undefined constant PHP - assumed 'PHP' (this will throw an Error in a future version of PHP) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 1
[03-Apr-2024 00:04:51 UTC] PHP Warning:  Use of undefined constant PHP - assumed 'PHP' (this will throw an Error in a future version of PHP) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 1
[03-Apr-2024 00:04:52 UTC] PHP Warning:  Use of undefined constant PHP - assumed 'PHP' (this will throw an Error in a future version of PHP) in /Users/michaelpena/Local Sites/bootstrap2wordpress/app/public/wp-content/themes/bootstrap2wordpress/functions.php on line 1
